gene_name	gene_biotype
VGLL4	protein_coding
RP11-169K17.4	antisense
RP11-169K17.3	antisense
TAMM41	protein_coding
FANCD2P2	unprocessed_pseudogene
CYCSP12	processed_pseudogene
NUP210P2	unprocessed_pseudogene
MARK2P14	unprocessed_pseudogene
AC090958.5	unprocessed_pseudogene
RN7SL147P	misc_RNA
SYN2	protein_coding
ACTG1P12	processed_pseudogene
AC026166.1	miRNA
TIMP4	protein_coding
MTCO1P5	processed_pseudogene
GSTM5P1	processed_pseudogene
PPARG	protein_coding
AC091492.2	processed_pseudogene
Metazoa_SRP	misc_RNA
TSEN2	protein_coding
RNA5SP123	rRNA
RNU6-377P	snRNA
MKRN2OS	protein_coding
MKRN2	protein_coding
Metazoa_SRP	misc_RNA
RAF1	protein_coding
CRIP1P1	processed_pseudogene
TMEM40	protein_coding
KRT18P17	processed_pseudogene
CAND2	protein_coding
RP11-767C1.2	antisense
RPL32	protein_coding
AC034198.1	miRNA
SNORA7A	snoRNA
AC034198.7	transcribed_unprocessed_pseudogene
RP11-767C1.1	lincRNA
IQSEC1	protein_coding
RP11-715I4.1	processed_pseudogene
NUP210	protein_coding
AC027124.3	processed_pseudogene
AC027124.2	processed_pseudogene
HDAC11-AS1	antisense
HDAC11	protein_coding
FBLN2	protein_coding
LINC00620	antisense
AC093611.2	miRNA
AC093611.1	miRNA
WNT7A	protein_coding
VN1R20P	unitary_pseudogene
FGD5P1	transcribed_unprocessed_pseudogene
TPRXL	protein_coding
VN1R21P	unitary_pseudogene
CHCHD4	protein_coding
TMEM43	protein_coding
RP11-434D12.1	protein_coding
AC093495.4	antisense
XPC	protein_coding
LSM3	protein_coding
RP11-536I6.2	lincRNA
LINC01267	lincRNA
RNA5SP124	rRNA
SLC6A6	protein_coding
GRIP2	protein_coding
RNU6-905P	snRNA
AC090952.1	miRNA
RHBDF1P1	processed_pseudogene
AC090952.5	antisense
CCDC174	protein_coding
C3orf20	protein_coding
AC090957.2	antisense
RP11-95M5.1	lincRNA
FGD5	protein_coding
FGD5-AS1	antisense
NR2C2	protein_coding
MRPS25	protein_coding
RBSN	protein_coding
AC090954.5	processed_pseudogene
AC090954.1	miRNA
RPS3AP53	processed_pseudogene
COL6A4P1	unitary_pseudogene
AC090954.2	miRNA
CAPN7	protein_coding
SH3BP5-AS1	antisense
SH3BP5	protein_coding
RNU6-454P	snRNA
HMGN2P7	processed_pseudogene
METTL6	protein_coding
EAF1	protein_coding
RNU6-1024P	snRNA
EAF1-AS1	antisense
COLQ	protein_coding
MIR4270	miRNA
RN7SL110P	misc_RNA
HACL1	protein_coding
BTD	protein_coding
ANKRD28	protein_coding
MIR3134	miRNA
RP11-44D5.2	TEC
RP11-44D5.1	transcribed_unprocessed_pseudogene
RN7SL4P	misc_RNA
AC090950.1	miRNA
MIR563	miRNA
AC090945.1	processed_pseudogene
GALNT15	protein_coding
DPH3	protein_coding
OXNAD1	protein_coding
RP11-608O8.2	processed_pseudogene
RFTN1	protein_coding
RP11-415F23.2	antisense
RP11-415F23.3	antisense
RP11-415F23.4	antisense
RP11-194G10.3	lincRNA
LINC00690	lincRNA
DAZL	protein_coding
AC010139.1	miRNA
AC091493.2	lincRNA
AC091493.1	unprocessed_pseudogene
PLCL2	protein_coding
MIR3714	miRNA
PLCL2-AS1	antisense
AC090644.1	miRNA
TBC1D5	protein_coding
AC090960.1	processed_pseudogene
AC140076.1	processed_pseudogene
RNU7-10P	snRNA
AC104451.2	unprocessed_pseudogene
AC104297.1	processed_pseudogene
PDCL3P3	processed_pseudogene
AC132807.1	lincRNA
RP11-320G10.1	lincRNA
SATB1	protein_coding
RP11-158G18.1	sense_intronic
SATB1-AS1	processed_transcript
RAD23BP1	processed_pseudogene
RNU6-138P	snRNA
KCNH8	protein_coding
MIR4791	miRNA
EFHB	protein_coding
HSPA8P18	processed_pseudogene
RAB5A	protein_coding
PP2D1	protein_coding
RNU4-85P	snRNA
SAP18P3	processed_pseudogene
RPL39P18	processed_pseudogene
KAT2B	protein_coding
MIR3135A	miRNA
SGOL1	protein_coding
SGOL1-AS1	processed_transcript
RNU6-822P	snRNA
RP11-669C19.1	lincRNA
RNU6-815P	snRNA
RP11-901H12.1	lincRNA
AC104441.1	miRNA
AC104183.2	miRNA
AC104183.1	miRNA
VENTXP7	processed_pseudogene
ZNF385D	protein_coding
ZNF385D-AS1	antisense
SNORA32	snoRNA
AC023798.1	miRNA
ZNF385D-AS2	lincRNA
HMGB1P5	transcribed_processed_pseudogene
AC092421.1	unprocessed_pseudogene
RP11-1037D22.1	processed_pseudogene
RANP7	processed_pseudogene
SALL4P5	unprocessed_pseudogene
RPL24P7	processed_pseudogene
UBE2E2-AS1	antisense
UBE2E2	protein_coding
Y_RNA	misc_RNA
AC121251.1	unprocessed_pseudogene
AC092038.1	miRNA
AC092038.2	miRNA
RNU6-922P	snRNA
RNU6-788P	snRNA
AC020626.1	miRNA
UBE2E1-AS1	antisense
UBE2E1	protein_coding
AC124914.3	processed_pseudogene
NKIRAS1	protein_coding
RPL15	protein_coding
NR1D2	protein_coding
LINC00691	lincRNA
NPM1P23	transcribed_processed_pseudogene
THRB	protein_coding
RPL31P20	processed_pseudogene
THRB-IT1	sense_intronic
THRB-AS1	processed_transcript
RP11-317L10.1	lincRNA
MIR4792	miRNA
EIF3KP2	processed_pseudogene
AC133680.1	lincRNA
RN7SL216P	misc_RNA
RNA5SP125	rRNA
RARB	protein_coding
CFL1P7	processed_pseudogene
AC098477.1	miRNA
RNA5SP126	rRNA
AC133141.1	processed_pseudogene
SNORD5	snoRNA
TOP2B	protein_coding
uc_338	misc_RNA
MIR4442	miRNA
CRIP1P2	processed_pseudogene
NGLY1	protein_coding
AC092798.2	processed_pseudogene
TAF9BP1	processed_pseudogene
OXSM	protein_coding
LINC00692	processed_transcript
RPEP2	processed_pseudogene
HMGB3P12	processed_pseudogene
VENTXP4	processed_pseudogene
AC099754.1	lincRNA
LRRC3B	protein_coding
AC114877.3	lincRNA
AC114877.1	miRNA
NEK10	protein_coding
MINOS1P3	processed_pseudogene
RNU6-342P	snRNA
AC099535.1	miRNA
SLC4A7	protein_coding
RPS20P15	processed_pseudogene
AC099535.4	processed_pseudogene
RNU1-96P	snRNA
AC137675.1	processed_pseudogene
Y_RNA	misc_RNA
AC098614.1	processed_pseudogene
AC098614.2	transcribed_processed_pseudogene
RP11-222K16.1	lincRNA
AC098614.3	processed_pseudogene
RP11-222K16.2	lincRNA
EOMES	protein_coding
AC098973.2	lincRNA
AC098973.1	lincRNA
AC092415.1	lincRNA
CMC1	protein_coding
AZI2	protein_coding
ZCWPW2	protein_coding
FAM96AP1	processed_pseudogene
AC093142.2	processed_pseudogene
LINC00693	antisense
AC097361.1	miRNA
MESTP4	processed_pseudogene
RBMS3-AS3	antisense
RBMS3	protein_coding
AC098650.1	miRNA
RPS12P5	processed_pseudogene
RBMS3-AS2	antisense
MTND4LP9	processed_pseudogene
RBMS3-AS1	antisense
AC137674.1	miRNA
AC137674.2	miRNA
ACEA_U3	snoRNA
U3	snoRNA
AC116035.1	lincRNA
AC116035.2	lincRNA
TGFBR2	protein_coding
AC096921.2	processed_pseudogene
RP11-1024P17.1	sense_overlapping
GADL1	protein_coding
MIR466	miRNA
CNN2P6	processed_pseudogene
RNA5SP127	rRNA
AC115283.1	processed_pseudogene
THRAP3P1	processed_pseudogene
STT3B	protein_coding
OSBPL10	protein_coding
OSBPL10-AS1	antisense
ZNF587P1	processed_pseudogene
ZNF860	protein_coding
AC108485.1	miRNA
RPL21P40	processed_pseudogene
SNORA25	snoRNA
Y_RNA	misc_RNA
NIFKP7	unprocessed_pseudogene
GPD1L	protein_coding
AC094019.4	unprocessed_pseudogene
RPSAP11	processed_pseudogene
RP11-384L8.1	sense_intronic
CMTM8	protein_coding
RP11-384L8.2	processed_pseudogene
KRT18P15	processed_pseudogene
AC097639.1	miRNA
CMTM7	protein_coding
CMTM6	protein_coding
MIR548AY	miRNA
AC104306.1	processed_pseudogene
AC104306.2	miRNA
DYNC1LI1	protein_coding
AC104306.4	processed_pseudogene
IGBP1P3	processed_pseudogene
RPL30P4	processed_pseudogene
CNOT10	protein_coding
CNOT10-AS1	antisense
SUGT1P2	processed_pseudogene
RPL23AP43	processed_pseudogene
TRIM71	protein_coding
CCR4	protein_coding
GLB1	protein_coding
SEC13P1	processed_pseudogene
SUMO2P10	processed_pseudogene
TMPPE	protein_coding
RN7SL296P	misc_RNA
CRTAP	protein_coding
RP11-627J17.1	antisense
SUSD5	protein_coding
AC123900.2	processed_pseudogene
FBXL2	protein_coding
UBP1	protein_coding
RNU7-110P	snRNA
RNA5SP128	rRNA
CLASP2	protein_coding
COX6CP10	processed_pseudogene
AC112220.2	processed_pseudogene
SDAD1P3	processed_pseudogene
RP11-10C24.2	lincRNA
RP11-10C24.3	lincRNA
RP11-10C24.1	lincRNA
PDCD6IP	protein_coding
AC018359.1	lincRNA
AC123023.1	lincRNA
AC018359.3	lincRNA
FECHP1	processed_pseudogene
KRT8P18	processed_pseudogene
RNU6-243P	snRNA
ARPP21	protein_coding
ARPP21-AS1	antisense
MIR128-2	miRNA
AC104308.2	processed_pseudogene
RFC3P1	processed_pseudogene
STAC	protein_coding
NBPF21P	unprocessed_pseudogene
RN7SKP227	misc_RNA
DCLK3	protein_coding
HSPD1P6	transcribed_processed_pseudogene
RP11-640L9.1	lincRNA
RP11-640L9.2	TEC
TRANK1	protein_coding
AC011816.1	processed_pseudogene
RNU6ATAC4P	snRNA
RP11-129K12.1	lincRNA
PRADC1P1	processed_pseudogene
EPM2AIP1	protein_coding
MLH1	protein_coding
RPL29P11	processed_pseudogene
LRRFIP2	protein_coding
Y_RNA	misc_RNA
UBE2D3P2	processed_pseudogene
RNU6-1301P	snRNA
UBE2FP1	processed_pseudogene
RP11-285J16.1	antisense
AC097359.2	processed_pseudogene
RP11-259K5.1	lincRNA
RP11-259K5.2	antisense
GOLGA4	protein_coding
TCEA1P2	processed_pseudogene
RNA5SP129	rRNA
C3orf35	lincRNA
ITGA9	protein_coding
RNU7-73P	snRNA
ITGA9-AS1	processed_transcript
RPL21P135	processed_pseudogene
NDUFAF4P3	processed_pseudogene
CTDSPL	protein_coding
MIR26A1	miRNA
VILL	protein_coding
PLCD1	protein_coding
Y_RNA	misc_RNA
DLEC1	protein_coding
PPP2R2DP1	processed_pseudogene
ACAA1	protein_coding
Y_RNA	misc_RNA
MYD88	protein_coding
OXSR1	protein_coding
SLC22A13	protein_coding
RP11-815I22.1	processed_pseudogene
SLC22A14	protein_coding
RNU6-235P	snRNA
DLEC1P1	unprocessed_pseudogene
XYLB	protein_coding
ACVR2B-AS1	antisense
ACVR2B	protein_coding
EXOG	protein_coding
Y_RNA	misc_RNA
DDTP1	processed_pseudogene
RPL18AP7	processed_pseudogene
SCN5A	protein_coding
SCN10A	protein_coding
AC116038.1	miRNA
RP11-134J21.1	antisense
SCN11A	protein_coding
RNU6-1227P	snRNA
WDR48	protein_coding
GORASP1	protein_coding
TTC21A	protein_coding
MIR6822	miRNA
CSRNP1	protein_coding
Metazoa_SRP	misc_RNA
XIRP1	protein_coding
DSTNP4	processed_pseudogene
CX3CR1	protein_coding
RP11-331G2.6	processed_pseudogene
CCR8	protein_coding
HNRNPA1P21	processed_pseudogene
RP11-241K18.2	processed_pseudogene
EEF1A1P24	processed_pseudogene
SLC25A38	protein_coding
RPSA	protein_coding
SNORA6	snoRNA
SNORA62	snoRNA
AC099332.1	miRNA
MOBP	protein_coding
NFU1P1	processed_pseudogene
MYRIP	protein_coding
RNU4-56P	snRNA
EIF1B-AS1	processed_transcript
RN7SL411P	misc_RNA
SNORA64	snoRNA
EIF1B	protein_coding
ENTPD3-AS1	antisense
PGAM1P3	processed_pseudogene
ENTPD3	protein_coding
RPL14	protein_coding
ZNF619	protein_coding
RNU5B-2P	snRNA
ZNF620	protein_coding
ZNF621	protein_coding
RPL5P10	processed_pseudogene
EEF1GP3	processed_pseudogene
RP11-528N21.1	lincRNA
HMGN2P24	processed_pseudogene
RP11-761N21.2	processed_pseudogene
RP11-761N21.1	lincRNA
RP11-520A21.1	lincRNA
RP11-372H2.1	lincRNA
MRPS31P1	processed_pseudogene
CTNNB1	protein_coding
ULK4	protein_coding
AC099537.1	miRNA
SCARNA21	scaRNA
RN7SKP58	misc_RNA
ATP6V0E1P2	processed_pseudogene
Y_RNA	misc_RNA
U8	snoRNA
RPL36P20	processed_pseudogene
GEMIN2P2	processed_pseudogene
TRAK1	protein_coding
RP11-193I22.2	processed_pseudogene
TPMTP2	processed_pseudogene
RNU4-78P	snRNA
CCK	protein_coding
RP11-333B11.1	antisense
SALL4P6	processed_pseudogene
EIF4BP4	processed_pseudogene
LYZL4	protein_coding
AC092048.1	miRNA
RP11-219I21.1	processed_pseudogene
VIPR1	protein_coding
VIPR1-AS1	antisense
SEC22C	protein_coding
SS18L2	protein_coding
NKTR	protein_coding
RP4-613B23.1	antisense
ZBTB47	protein_coding
RN7SL567P	misc_RNA
KLHL40	protein_coding
CCDC13	protein_coding
HHATL	protein_coding
HHATL-AS1	antisense
CCDC13-AS1	antisense
RP4-613B23.5	protein_coding
RP11-70C1.1	antisense
HIGD1A	protein_coding
RP11-70C1.3	antisense
ACKR2	protein_coding
RP11-141M3.6	processed_transcript
RP11-136C24.3	protein_coding
KRBOX1	protein_coding
CYP8B1	protein_coding
HNRNPA1P22	processed_pseudogene
ZNF662	protein_coding
AC092043.1	miRNA
KRBOX1-AS1	antisense
FAM198A	protein_coding
RP11-136C24.1	unprocessed_pseudogene
POMGNT2	protein_coding
RP11-136C24.2	lincRNA
AC104434.1	miRNA
SNRK	protein_coding
RN7SL517P	misc_RNA
RP11-188P20.3	antisense
SNRK-AS1	antisense
ANO10	protein_coding
Y_RNA	misc_RNA
RP11-353H3.1	processed_pseudogene
ABHD5	protein_coding
RP4-672N11.1	lincRNA
RP4-555D20.3	lincRNA
RP4-555D20.4	lincRNA
RNU6-367P	snRNA
MIR138-1	miRNA
RP4-555D20.1	TEC
RP4-555D20.2	lincRNA
TOPAZ1	protein_coding
RP11-424N24.2	antisense
TCAIM	protein_coding
LINC00694	protein_coding
RP11-101C21.4	lincRNA
ZNF445	protein_coding
ZNF852	protein_coding
EI24P3	processed_pseudogene
RP11-944L7.6	processed_pseudogene
ZKSCAN7	protein_coding
RP11-944L7.4	antisense
ZNF660	protein_coding
MPRIPP1	processed_pseudogene
ZNF197	protein_coding
ZNF197-AS1	antisense
AC099669.1	miRNA
ZNF35	protein_coding
RP11-348P10.2	lincRNA
SOCS5P3	processed_pseudogene
ZNF502	protein_coding
ZNF501	protein_coding
KIAA1143	protein_coding
KIF15	protein_coding
AC098649.1	miRNA
TMEM42	protein_coding
MIR564	miRNA
TGM4	protein_coding
RP11-272D20.2	antisense
ZDHHC3	protein_coding
RPL12P44	processed_pseudogene
EXOSC7	protein_coding
CLEC3B	protein_coding
RNU5B-3P	snRNA
CDCP1	protein_coding
RPS24P8	processed_pseudogene
TMEM158	protein_coding
U3	snoRNA
LARS2	protein_coding
LARS2-AS1	antisense
LIMD1	protein_coding
AC099539.1	miRNA
LIMD1-AS1	antisense
SACM1L	protein_coding
RN7SL145P	misc_RNA
RP11-697K23.3	TEC
SLC6A20	protein_coding
LZTFL1	protein_coding
RP11-852E15.1	processed_pseudogene
CCR9	protein_coding
Y_RNA	misc_RNA
FYCO1	protein_coding
CXCR6	protein_coding
XCR1	protein_coding
NRBF2P2	processed_pseudogene
FLT1P1	processed_pseudogene
CCR3	protein_coding
CCR1	protein_coding
UQCRC2P1	processed_pseudogene
CCR2	protein_coding
RP11-24F11.2	antisense
CCR5	protein_coding
CCRL2	protein_coding
LTF	protein_coding
RTP3	protein_coding
LRRC2	protein_coding
AC104304.1	miRNA
LRRC2-AS1	antisense
TDGF1	protein_coding
SNORD77	snoRNA
ALS2CL	protein_coding
TMIE	protein_coding
PRSS50	protein_coding
PRSS46	protein_coding
PRSS45	protein_coding
RP11-427P5.2	processed_pseudogene
PRSS44	transcribed_unprocessed_pseudogene
PRSS42	protein_coding
MYL3	protein_coding
PTH1R	protein_coding
RP11-427P5.3	processed_pseudogene
CCDC12	protein_coding
NBEAL2	protein_coding
NRADDP	unitary_pseudogene
SETD2	protein_coding
MRPL57P3	processed_pseudogene
KIF9-AS1	antisense
KIF9	protein_coding
SNORD13P3	snoRNA
KLHL18	protein_coding
RP11-447D11.3	TEC
RP11-708J19.1	antisense
PTPN23	protein_coding
SCAP	protein_coding
RP11-708J19.3	processed_pseudogene
ELP6	protein_coding
BOLA2P2	transcribed_processed_pseudogene
Y_RNA	misc_RNA
AC099778.1	miRNA
RN7SL870P	misc_RNA
CSPG5	protein_coding
SMARCC1	protein_coding
RP11-717D12.1	sense_intronic
RP11-395P16.1	processed_pseudogene
AC026318.1	miRNA
DHX30	protein_coding
uc_338	misc_RNA
MIR1226	miRNA
MAP4	protein_coding
Y_RNA	misc_RNA
VPS26BP1	processed_pseudogene
RP11-1029M24.4	processed_pseudogene
RN7SL664P	misc_RNA
AC124916.1	miRNA
AC124916.2	miRNA
RP11-1029M24.1	processed_pseudogene
CDC25A	protein_coding
SNRPFP4	processed_pseudogene
RNU7-128P	snRNA
NDUFB1P1	processed_pseudogene
MIR4443	miRNA
CAMP	protein_coding
ZNF589	protein_coding
MRPS18AP1	processed_pseudogene
Y_RNA	misc_RNA
FCF1P2	processed_pseudogene
NME6	protein_coding
SPINK8	protein_coding
MIR2115	miRNA
FBXW12	protein_coding
RN7SL321P	misc_RNA
PLXNB1	protein_coding
CCDC51	protein_coding
TMA7	protein_coding
RP11-24C3.2	antisense
ATRIP	protein_coding
TREX1	protein_coding
SHISA5	protein_coding
AC134772.1	miRNA
PFKFB4	protein_coding
MIR6823	miRNA
UCN2	protein_coding
COL7A1	protein_coding
MIR711	miRNA
UQCRC1	protein_coding
TMEM89	protein_coding
SLC26A6	protein_coding
MIR6824	miRNA
CELSR3	protein_coding
MIR4793	miRNA
CELSR3-AS1	antisense
RP11-572O6.1	lincRNA
NCKIPSD	protein_coding
IP6K2	protein_coding
AC141002.1	miRNA
PRKAR2A	protein_coding
PRKAR2A-AS1	antisense
SLC25A20	protein_coding
ARIH2OS	protein_coding
ARIH2	protein_coding
RP13-131K19.1	antisense
RP13-131K19.2	antisense
RP13-131K19.7	lincRNA
P4HTM	protein_coding
WDR6	protein_coding
DALRD3	protein_coding
MIR425	miRNA
NDUFAF3	protein_coding
MIR191	miRNA
IMPDH2	protein_coding
RP13-131K19.6	antisense
QRICH1	protein_coding
RN7SL182P	misc_RNA
QARS	protein_coding
MIR6890	miRNA
USP19	protein_coding
LAMB2	protein_coding
RP11-694I15.7	unprocessed_pseudogene
CCDC71	protein_coding
KLHDC8B	protein_coding
C3orf84	protein_coding
CCDC36	protein_coding
RP11-3B7.7	processed_pseudogene
RP11-3B7.1	lincRNA
C3orf62	protein_coding
Y_RNA	misc_RNA
MIR4271	miRNA
USP4	protein_coding
Metazoa_SRP	misc_RNA
GPX1	protein_coding
RHOA	protein_coding
RHOA-IT1	sense_intronic
TCTA	protein_coding
AMT	protein_coding
NICN1	protein_coding
RNA5SP130	rRNA
DAG1	protein_coding
BSN-AS2	lincRNA
BSN	protein_coding
BSN-AS1	antisense
AC099668.1	miRNA
APEH	protein_coding
MST1	protein_coding
AC099668.5	processed_transcript
RNF123	protein_coding
AMIGO3	protein_coding
GMPPB	protein_coding
IP6K1	protein_coding
COX6CP14	processed_pseudogene
RP13-1056D16.2	processed_pseudogene
CDHR4	protein_coding
FAM212A	protein_coding
UBA7	protein_coding
MIR5193	miRNA
AC139451.1	miRNA
TRAIP	protein_coding
CAMKV	protein_coding
RN7SL217P	misc_RNA
AC139451.2	miRNA
ACTBP13	unitary_pseudogene
MST1R	protein_coding
CTD-2330K9.2	antisense
CTD-2330K9.3	antisense
MON1A	protein_coding
RBM6	protein_coding
RBM5	protein_coding
RBM5-AS1	antisense
SEMA3F-AS1	antisense
SEMA3F	protein_coding
MIR566	miRNA
GNAT1	protein_coding
SLC38A3	protein_coding
GNAI2	protein_coding
MIR5787	miRNA
XXcos-LUCA16.1	sense_intronic
U73166.2	lincRNA
SEMA3B-AS1	antisense
SEMA3B	protein_coding
MIR6872	miRNA
LSMEM2	protein_coding
IFRD2	protein_coding
HYAL3	protein_coding
NAT6	protein_coding
HYAL1	protein_coding
HYAL2	protein_coding
TUSC2	protein_coding
RASSF1	protein_coding
RASSF1-AS1	antisense
ZMYND10-AS1	antisense
ZMYND10	protein_coding
NPRL2	protein_coding
CYB561D2	protein_coding
XXcos-LUCA11.5	protein_coding
TMEM115	protein_coding
CACNA2D2	protein_coding
CYB561D2	antisense
RNA5SP131	rRNA
C3orf18	protein_coding
HEMK1	protein_coding
RP11-804H8.7	lincRNA
CISH	protein_coding
MAPKAPK3	protein_coding
RP11-804H8.6	lincRNA
MIR4787	miRNA
DOCK3	protein_coding
RP11-804H8.5	processed_pseudogene
RP11-646D13.1	processed_pseudogene
ZNF652P1	processed_pseudogene
ST13P14	processed_pseudogene
AC144634.1	miRNA
MANF	protein_coding
RBM15B	protein_coding
VPRBP	protein_coding
RAD54L2	protein_coding
RNU6ATAC29P	snRNA
TEX264	protein_coding
RNA5SP132	rRNA
GRM2	protein_coding
AC099050.1	miRNA
IQCF6	protein_coding
IQCF4	transcribed_processed_pseudogene
IQCF3	protein_coding
IQCF2	protein_coding
RN7SL504P	misc_RNA
IQCF5-AS1	antisense
IQCF5	protein_coding
IQCF1	protein_coding
RRP9	protein_coding
PARP3	protein_coding
RP11-155D18.13	TEC
GPR62	protein_coding
PCBP4	protein_coding
RP11-155D18.12	processed_transcript
ABHD14B	protein_coding
ABHD14A	protein_coding
ABHD14A-ACY1	protein_coding
ACY1	protein_coding
RPL29	protein_coding
DUSP7	protein_coding
POC1A	protein_coding
ALDOAP1	processed_pseudogene
ALAS1	protein_coding
RP11-330H6.6	TEC
TLR9	protein_coding
RP11-330H6.5	protein_coding
TWF2	protein_coding
RP5-1157M23.2	antisense
PPM1M	protein_coding
WDR82	protein_coding
MIRLET7G	miRNA
GLYCTK	protein_coding
GLYCTK-AS1	processed_transcript
MIR135A1	miRNA
DNAH1	protein_coding
RP11-168J18.6	processed_pseudogene
BAP1	protein_coding
PHF7	protein_coding
SEMA3G	protein_coding
TNNC1	protein_coding
NISCH	protein_coding
STAB1	protein_coding
NT5DC2	protein_coding
SMIM4	protein_coding
PBRM1	protein_coding
RNU6-856P	snRNA
RNU6ATAC16P	snRNA
GNL3	protein_coding
SNORD19B	snoRNA
SNORD19	snoRNA
SNORD19B	snoRNA
SNORD19	snoRNA
SNORD69	snoRNA
GLT8D1	protein_coding
SPCS1	protein_coding
NEK4	protein_coding
RP5-966M1.7	processed_pseudogene
RP5-966M1.5	processed_pseudogene
RP5-966M1.4	processed_pseudogene
ITIH1	protein_coding
ITIH3	protein_coding
ITIH4	protein_coding
RP5-966M1.6	protein_coding
ITIH4-AS1	antisense
MUSTN1	protein_coding
TMEM110-MUSTN1	protein_coding
TMEM110	protein_coding
MIR8064	miRNA
RP11-894J14.2	TEC
SFMBT1	protein_coding
RP11-894J14.5	protein_coding
RP11-5O17.1	TEC
SERBP1P3	processed_pseudogene
RFT1	protein_coding
PRKCD	protein_coding
TKT	protein_coding
DCP1A	protein_coding
Y_RNA	misc_RNA
SNORD38	snoRNA
SNORA26	snoRNA
RP11-72H11.1	processed_pseudogene
CACNA1D	protein_coding
SNORD63	snoRNA
RP11-884K10.6	antisense
CHDH	protein_coding
IL17RB	protein_coding
RP11-884K10.7	antisense
ACTR8	protein_coding
SELK	protein_coding
CABYRP1	processed_pseudogene
CACNA2D3	protein_coding
RPS15P5	processed_pseudogene
ESRG	sense_intronic
AC092057.1	miRNA
CACNA2D3-AS1	antisense
LRTM1	protein_coding
RP11-889D3.1	lincRNA
RP11-889D3.2	lincRNA
RP11-64C1.1	lincRNA
RP11-875H7.1	lincRNA
RP11-875H7.2	lincRNA
WNT5A	protein_coding
WNT5A-AS1	antisense
RP11-875H7.5	lincRNA
ERC2	protein_coding
RP11-58O15.1	lincRNA
ERC2-IT1	sense_intronic
MIR3938	miRNA
RN7SKP45	misc_RNA
RNA5SP133	rRNA
CCDC66	protein_coding
FAM208A	protein_coding
ARHGEF3	protein_coding
ARHGEF3-AS1	antisense
SPATA12	protein_coding
RP11-157F20.3	antisense
IL17RD	protein_coding
RP11-157F20.1	processed_pseudogene
HESX1	protein_coding
APPL1	protein_coding
AC093928.1	miRNA
ASB14	protein_coding
DNAH12	protein_coding
Y_RNA	misc_RNA
RNU6-1181P	snRNA
RNF7P1	processed_pseudogene
RP11-229A12.2	processed_pseudogene
RNU6-108P	snRNA
RNU6-483P	snRNA
PDE12	protein_coding
ARF4	protein_coding
ARF4-AS1	antisense
RNU6ATAC26P	snRNA
DENND6A	protein_coding
DENND6A-AS1	antisense
RP11-755B10.3	lincRNA
SLMAP	protein_coding
PDHA1P1	processed_pseudogene
PPIAP16	processed_pseudogene
FLNB	protein_coding
FLNB-AS1	antisense
DNASE1L3	protein_coding
ABHD6	protein_coding
RPP14	protein_coding
RP11-80H18.3	protein_coding
RP11-80H18.4	lincRNA
PXK	protein_coding
RP11-802O23.4	processed_pseudogene
PDHB	protein_coding
RP11-802O23.3	antisense
RP11-359I18.5	lincRNA
KCTD6	protein_coding
ACOX2	protein_coding
RP11-359I18.1	processed_pseudogene
FAM107A	protein_coding
RP11-475O23.2	antisense
FAM3D-AS1	antisense
FAM3D	protein_coding
C3orf67	protein_coding
C3orf67-AS1	antisense
CTD-2185K10.1	lincRNA
RP11-285B24.1	lincRNA
RP11-719N22.2	lincRNA
RP11-719N22.1	processed_pseudogene
Metazoa_SRP	misc_RNA
FHIT	protein_coding
RP11-641C17.4	processed_pseudogene
MIR548BB	miRNA
RP11-641C17.2	processed_pseudogene
RP11-641C17.3	processed_pseudogene
RP11-641C17.1	processed_pseudogene
U3	snoRNA
PTPRG	protein_coding
Y_RNA	misc_RNA
RPL10AP6	processed_pseudogene
RNU2-10P	snRNA
RP11-154D3.1	processed_pseudogene
PTPRG-AS1	processed_transcript
C3orf14	protein_coding
FEZF2	protein_coding
CADPS	protein_coding
RP11-1036F1.1	processed_pseudogene
RN7SL863P	misc_RNA
RNU6-139P	snRNA
RP11-24H1.1	processed_pseudogene
LINC00698	lincRNA
KRT8P35	processed_pseudogene
UBL5P3	processed_pseudogene
SYNPR	protein_coding
AC099545.1	miRNA
SYNPR-AS1	antisense
RNA5SP134	rRNA
SNTN	protein_coding
AC136289.1	transcribed_unprocessed_pseudogene
AC104162.1	miRNA
C3orf49	protein_coding
THOC7	protein_coding
THOC7-AS1	antisense
ATXN7	protein_coding
SCAANT1	antisense
PSMD6-AS2	antisense
RP11-245J9.5	lincRNA
PSMD6	protein_coding
RP11-245J9.4	antisense
RP11-245J9.6	antisense
PRICKLE2-AS1	antisense
U3	snoRNA
LINC00994	lincRNA
PRICKLE2	protein_coding
PRICKLE2-AS1	antisense
PRICKLE2-AS2	antisense
PRDX3P4	processed_pseudogene
PRICKLE2-AS3	antisense
RP11-14D22.2	lincRNA
RP11-14D22.1	lincRNA
RNU6-739P	snRNA
ADAMTS9	protein_coding
ADAMTS9-AS1	antisense
ADAMTS9-AS2	antisense
RP11-543A18.1	lincRNA
AC104331.1	miRNA
MAGI1	protein_coding
RP11-88H12.2	sense_intronic
ILF2P1	processed_pseudogene
RPL17P17	processed_pseudogene
MAGI1-IT1	sense_intronic
MAGI1-AS1	antisense
AC106827.1	miRNA
Y_RNA	misc_RNA
RP11-320P11.1	processed_pseudogene
SLC25A26	protein_coding
RNU6-787P	snRNA
RN7SL482P	misc_RNA
LRIG1	protein_coding
